BALTIC OPERATIONAL AND OCEANOGRAPHICAL SYSTEM (BOOS)
OCEANOGRAPHIC DATA
STATIONS

BOOSNR	= Station Number used in BOOS
PLATFORM	= Platform ID
STATION	= Station Name (Vessel Name)
LAT	= Latitude in decimal degress
LON	= Longitude in decimal degress
 
TYPE	= Station Type
where
FP	= Fixed Platform
TG	= Tide Gauge
MB	= Moored Buoy
FB	= Ferrybox/Vessel
GL	= Glider
CT	= CTD Profiles 
SF	= Lightship

DATUM	= Sea Level Reference Datum

OWNER/PROVIDER/PU = Station Owner / Data Provider / Production unit
where
BSH	=	1850	Federal Maritime and Hydrographic Agency	larissa.mueller@bsh.de
CTH	=	3506	Chalmers Technical University	guinnar.elgered@chalmers.se
DMI	=	469	Danish Meteorological Institute	vh@dmi.dk
DMU	=	3037	Danish Centre for Environment and Energy	las@dmu.dk
EMHI	=	872	Estonian Meteorological and Hydrological Institute	urmas.lips@phys.sea.ee
EPA	=	680	Environmental Protection Agency	aaa@aaa.am.lt
FISHSEC	=	991	Federal Research Centre for Fisheries	info@fishsec.org
FM	=	1217	Swedish Armed Forces	johanna.linders@smhi.se
FMI	=	1725	Finnish Meteorological Institute	pekka.alenius@fmi.fi
GBG	=	-	City of Gothenburg	johanna.linders@smhi.se
HZG	=	2842	Helmholtz-Zentrum Geesthacht	wilhelm.petersen@gkss.de
IMWM	=	193	Institute for Water Management	magdalena.kaminska@imgw.pl
IOPAS	=	195	Institute of Oceanology	wichor@iopan.gda.pl
IOW	=	116	Baltic Sea Research Institute Warnemünde	iowinfo@io-warnemuende.de
KDI	=	466	Danish Coastal Authority	cas@kyst.dk
KMRC	=	617	Kristineberg Marine Research Station	johanna.linders@smhi.se
LEGMA	=	892	Latvian Environment, Geology and Meteorology Agency	jurijs.siskins@lvgma.gov.lv
LHEI	=	698	Latvian Institute of Aquatic Ecology	anda.ikauniece@lhei.lv
LLUR	=	2537	State Office for Agriculture, Environment and Rural Areas of Schleswig Holstein	poststelle@llur.landsh.de
LNU	=	4812	Linnaeus University	johanna.linders@smhi.se
LUNG	=	993	State Agency for Environment, Nature and Geology, Mecklenburg-Vorpommern	poststelle@lung.mv-regierung.de
METNO	=	1212	Norwegian Meteorological Institute	bruce.hackett@met.no
MIG	=	1241	Maritime Institute Gdansk	anstas@im.gda.pl
MSI	=	713	Marine Systems Institute at Tallinn University of Technology	urmas.lips@msi.ttu.ee
NERI	=	729	National Environmental Research institute	las@dmu.dk
NIVA	=	1417	Norwegian Institute for Water research	pierre.jaccard@niva.no
NIOZ 	=	630	Royal Netherlands Institute for Sea Research	dmg@nioz.nl
NWAHEM	=	911	North-West Regional Administration for Hydrometeorology and Environmental Monitoring	gvi@meteo.nw.ru
RAS	=	685	P.P.Shirshov Institute of Oceanology	office@ocean.ru
RIHMI	=	681	All-Russia Research Institute of Hydrometeorological Information	nodc@meteo.ru
RUMS	=	2710	Federal Hydrometeorology and Environmental Monitoring Service	opnikitin@mail.ru
SMA	=	1215	Swedish Maritime Administration	lars.tornquist@sjofartsverket.se
SMF	=	618	Stockholm Research Centre	johanna.linders@smhi.se
SMHI	=	545	Swedish Meteorological and Hydrological Institute	johanna.linders@smhi.se
STE	=	1218	Stena Line	johanna.linders@smhi.se
SYKE	=	1104	Finnish Environmental Institute	seppo.kaitala@ymparisto.fi
UMF	=	622	Umea Research Centre	johanna.linders@smhi.se
UT	=	3138	University of Tartu	ivan.kuprijanov@ut.ee
WSA	=	2313	German Federal Waterways and Shipping Administration	larissa.mueller@bsh.de

PARAMETERS	= Parameters (myo_code) provided from each station. See MYO_PARAMETERS.txt for more information.


BOOSNR	PLATFORM	STATION	LAT	LON	TYPE	DATUM	OWNER	PROVIDER	PU	PARAMETERS

38001	FinnMaid	FinnMaid	-	-	FB	OJMI	SYKE	SYKE	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38002	BalticPrincess	Baltic Princess	-	-	FB	OJQF	MSI	MSI	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38003	TransPaper	TransPaper	-	-	FB	SKEC	SMHI	SMHI	SMHI	TIME LATX LONX DEPH DRYT FLU2 PHYC TUR4 LGHT DOXY TEMP PSAL
38004	ArgosUWS	Argos	-	-	FB	SEPI	SMHI	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH FLU2 TEMP PSAL
38005	Frej	Frej	-	-	FB	SBPT	SMA	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38006	ODEN	Oden	-	-	FB	SMLQ	SMA	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38007	Atle	Atle	-	-	FB	SBPR	SMA	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38008	Ymer	Ymer	-	-	FB	SDIA	SMA	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38009	StenaNordica	Stena Nordica	-	-	FB	2BXO2	SMHI	SMHI	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38010	Galaxy	Galaxy	-	-	FB	SFZQ	SMHI	SMHI	SMHI	TIME LATX LONX DEPH TEMP PSAL
38011	SiljaSerenade	Silja Serenade	-	-	FB	OJCS	SYKE	SYKE	SMHI	TIME LATX LONX DEPH TEMP PSAL
38012	SiljaEuropa	Silja Europa	-	-	FB	ESUJ	MSI	MSI	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38013	MSRomantika	MS Romantika	-	-	FB	YLBT	MSI	MSI	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38014	Gauss	Gauss	-	-	FB	06GA	BSH	BSH	BSH	TIME LATX LONX PRES TEMP PSAL
38015	Deneb	Deneb	-	-	FB	06JX	BSH	BSH	BSH	TIME LATX LONX PRES TEMP PSAL
38016	Ale	Ale	-	-	FB	SBPQ	SMA	SMHI	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38017	Aranda	Aranda	-	-	FB	OIRY	SYKE	SYKE	SMHI	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH FLU2 TEMP PSAL
38018	Victoria	Victoria	-	-	FB	ESRP	UT	UT	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38019	Brahe	Brahe	-	-	FB	OIEC	SYKE	SYKE	SMHI	TIME LATX LONX DEPH TEMP PSAL
38020	FinnSea	FinnSea	-	-	FB	OJOQ	SYKE	SYKE	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38025	ColorFantasy	Color Fantasy	-	-	FB	LMSD	NIVA	NIVA	NIVA	TIME LATX LONX DEPH TEMP PSAL DOXY
38030	BalticQueen	Baltic Queen	-	-	FB	ESJJ	MSI	MSI	SMHI	TIME LATX LONX DEPH FLU2 TEMP PSAL
38031	StenaSpirit	Stena Spirit	-	-	FB	C6ZK8	IMWM	IMWM	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38032	StenaSassnitz	Stena Sassnitz	-	-	FB	DQEJ	STE	STE	SMHI	TIME LATX LONX DEPH HCDT HCSP WDIR WSPD
38033	StenaDanica	Stena Danica	-	-	FB	SKFH	STE	STE	SMHI	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
