smhi_channel	smhi_code	smhi_units	myo_scaling	myo_channel	myo_code	units	valid_min	valid_max	standard_name	long_name
8001	Year	num_value	1	8001	YEAR	num_value	1700	2099	year	YEAR
8002	Latitude	deg	1	8002	LATX	degree_north	-90	90	latitude	LATITUDE_OF_EACH_LOCATION
8003	Longitude	deg	1	8003	LONX	degree_east	-180	180	longitude	LONGITUDE_OF_EACH_LOCATION
8028	WindForce	Beaufort	1	8028	WBFO	-	0	12	beaufort_wind_force	BEAUFORT_WIND_FORCE
8029	Gust	m/s	1	8029	GSPD	ms-1	0	100	wind_speed_of_gust	GUST_WIND_SPEED
8030	WindDir	deg	1	8030	WDIR	degree	0	360	wind_from_direction	WIND_FROM_DIRECTION_RELATIVE_TRUE_NORTH
8031	WindSpeed	m/s	1	8031	WSPD	ms-1	0	100	wind_speed	HORIZONTAL_WIND_SPEED
8032	Airpressure	hPa	1	8032	ATMP	hPa	950	1050	air_pressure	ATMOSPHERIC_PRESSURE_AT_ALTITUDE
8033	AirTemp	degC	1	8033	DRYT	degrees_C	-20	40	air_temperature	AIR_TEMPERATURE_IN_DRY_BULB
8034	Humidity	%	1	8034	RELH	%	0	100	relative_humidity	RELATIVE_HUMIDITY
8041	Hs	m	1	8041	VGHS	m	0	30	sea_surface_wave_significant_height	GENERIC_FORMAT
8042	Hs	m	1	8042	VAVH	m	0	30	sea_surface_wave_significant_height	AVERAGE_HEIGHT_HIGHEST_1/3_WAVE_(H1/3)
8043	Hm0	m	1	8043	VHM0	m	0	30	sea_surface_wave_significant_height	SPECTRAL_SIGNIFICANT_WAVE_HEIGHT_(HM0)
8044	Tz	s	1	8044	VTZA	s	0	30	sea_surface_wave_mean_period	AVERAGE_ZERO_CROSSING_WAVE_PERIOD_(TZ)
8045	Mdir	deg	1	8045	VMDR	degree	0	360	sea_surface_wave_from_direction	MEAN_WAVE_DIRECTION_FROM_(MDIR)
8046	Hmax_estimated	m	1	8046	VEMH	m	0	30	sea_surface_wave_maximum_height	ESTIMATED_MAXIMUM_WAVE_HEIGHT
8047	Hmax_zero_up	m	1	8047	VZMX	m	0	30	sea_surface_wave_maximum_height	MAXIMUM_ZERO_UP_CROSSING_WAVE_HEIGHT_(HMAX)
8048	Hmax_zero_down	m	1	8048	VZMD	m	0	30	sea_surface_wave_maximum_height	MAXIMUM_ZERO_DOWN_CROSSING_WAVE_HEIGHT_(HMAX)
8060	Fluorescence	relative	1	8060	FLUO	relative	-0.1	10	fluorescence	FLUORESCENCE
8061	LightAtt	m-1	1	8061	TUR2	m-1	0	10	light_attenuation	LIGHT_ATTENUATION_COEFFICIENT
8062	Chlorophyll	ugl-1	1	8062	CPHL	mgm-3	0	1000	mass_concentration_of_chlorophyll_a_in_sea_water	CHLOROPHYLL_A
8063	Chlorophyll-fluorescence	ugl-1	1	8063	FLU2	mgm-3	0	1000	mass_concentration_of_chlorophyll_a_fluorescence_in_sea_water	CHLOROPHYLL_A_FLUORESCENCE
8086	Specific_weight	gcm-3	1	8086	SPEC	gcm-3	0	2	specific_weight	SPECIFIC_WEIGHT
8087	Temperature_specific_weight	degC	1	8087	TSPE	degrees_C	-2	32	temperature_specific_weight	TEMPERATURE_SPECIFIC_WEIGHT
8088	Number_of_hits	-	1	8088	CNUM	-	0	1000	number_of_hits	NUMBER_OF_HITS
8092	Quality_flag	-	1	8092	QFLA	-	0	9	quality_flag	QUALITY_FLAG
8165	CDOM	ppb	1	8165	CDOM	1e-9	0	100	concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate	CDOM
8166	Phycoerythrin	ug/l	1	8166	PHER	mgm-3	0	100	phycoerythrin	PHYCOERYTHRIN
8167	pCO2_luft	ppm	1	8167	PCO2	uatm	0	100	surface_partial_pressure_of_carbon_dioxide_in_sea_water	CO2_PARTIAL_PRESSURE
8168	WatPres	dbar	1	8168	PRES	dbar	0	6000	sea_water_pressure	SEA_PRESSURE
8169	Oxygen	umol/kg	1	8169	DOX2	umolkg-1	0	450	moles_of_oxygen_per_unit_mass_in_sea_water	DISSOLVED_OXYGEN
8171	Speed	knots	1	8171	SPOG	knots	0	50	platform_speed_wrt_sea_water	PLATFORM_SPEED_WRT_SEA_WATER
8173	Phycocyanin	ug/l	1	8173	PHYC	mgm-3	0	1000	phycocyanin	PHYCOCYANIN
8174	Turbidity	NTU	1	8174	TUR4	1	0	10000	sea_water_turbidity	TURBIDITY
8175	PAR	uEm2s-1	1	8175	LGHT	uEm2s-1	0	4000	par	LIGHT_IRRADIANCE_IMMERGED_PAR
8176	Oxygen	mmol/m3	1	8176	DOXY	mmolm-3	0	650	mole_concentration_of_dissolved_molecular_oxygen_in_sea_water	DISSOLVED_OXYGEN
