co2_merged_file	iocftp_number	nodc
time	38055	time
lat	8002	lat
lon	8003	lon
calc_Pequ		calc_Pequ
calc_Tequ		calc_Tequ
calc_VP_H2O		calc_VP_H2O
calc_fCO2 SST		calc_fCO2 SST
calc_k		calc_k
calc_m		calc_m
calc_pCO2	8177	calc_pCO2
calc_pCO2 dry air		calc_pCO2 dry air
calc_time_since_latest_std		calc_time_since_latest_std
calc_xCO2		calc_xCO2
co2_CO2 um/m		co2_CO2 um/m
co2_CO2a W		co2_CO2a W
co2_CO2b W		co2_CO2b W
co2_H2O flow		co2_H2O flow
co2_H2O mm/m		co2_H2O mm/m
co2_H2Oa W		co2_H2Oa W
co2_H2Ob W		co2_H2Ob W
co2_N/A		co2_N/A
co2_Type		co2_Type
co2_atm cond		co2_atm cond
co2_cond temp		co2_cond temp
co2_drip 1		co2_drip 1
co2_dry box temp		co2_dry box temp
co2_equ cond		co2_equ cond
co2_equ press		co2_equ press
co2_equ pump		co2_equ pump
co2_equ temp	8160	co2_equ temp
co2_error		co2_error
co2_lat		co2_lat
co2_licor flow		co2_licor flow
co2_licor press		co2_licor press
co2_licor temp		co2_licor temp
co2_lon		co2_lon
co2_source_file		co2_source_file
co2_std val		co2_std val
co2_time		co2_time
co2_vent flow		co2_vent flow
diff_lat		diff_lat
diff_lon		diff_lon
diff_time		diff_time
mit_CAL		mit_CAL
mit_PT1		mit_PT1
mit_PT2		mit_PT2
mit_PT3		mit_PT3
mit_Soapres		mit_Soapres
mit_Soatemp		mit_Soatemp
mit_Socdom		mit_Socdom
mit_Sochlfl		mit_Sochlfl
mit_Soflow	8172	mit_Soflow
mit_Sooxy		mit_Sooxy
mit_SopH15		mit_SopH15
mit_SopHins		mit_SopHins
mit_SopHmeas		mit_SopHmeas
mit_SopHstd		mit_SopHstd
mit_Sopar		mit_Sopar
mit_Sopcfl		mit_Sopcfl
mit_Sosal	8181	mit_Sosal
mit_Sospd	8171	mit_Sospd
mit_Sotemp	8180	mit_Sotemp
mit_Soturb		mit_Soturb
mit_Sovar16		mit_Sovar16
mit_Sovar17		mit_Sovar17
mit_Sovar18		mit_Sovar18
mit_Sovar19		mit_Sovar19
mit_Sovar25		mit_Sovar25
mit_Soxtemp	8179	mit_Soxtemp
mit_Wsample		mit_Wsample
mit_lat		mit_lat
mit_lon		mit_lon
mit_source_file		mit_source_file
mit_time		mit_time
